'seconds', 'completed_qty', 'remaining_qty', 'mb_processed'
0, 0, 13938, 0.0
5, 12, 13926, 60.262
10, 21, 13917, 72.03
16, 31, 13907, 96.706
21, 45, 13893, 141.04
26, 56, 13882, 155.119
31, 65, 13873, 162.18
36, 73, 13865, 169.305
41, 82, 13856, 181.389
47, 89, 13849, 192.78
52, 95, 13843, 197.262
57, 104, 13834, 254.679
62, 113, 13825, 498.306
67, 120, 13818, 505.152
72, 130, 13808, 532.478
78, 136, 13802, 535.248
83, 144, 13794, 553.324
88, 153, 13785, 784.836
93, 160, 13778, 788.951
98, 165, 13773, 795.965
103, 172, 13766, 834.941
108, 179, 13759, 845.733
113, 182, 13756, 955.997
118, 186, 13752, 966.469
123, 190, 13748, 1016.203
128, 192, 13746, 1024.384
133, 194, 13744, 1042.133
139, 198, 13740, 1069.158
144, 204, 13734, 1090.66
149, 212, 13726, 1128.904
154, 222, 13716, 1145.094
159, 235, 13703, 1172.009
164, 245, 13693, 1191.861
169, 253, 13685, 1205.793
174, 261, 13677, 1217.677
179, 267, 13671, 1234.457
184, 275, 13663, 1262.811
189, 284, 13654, 1306.228
195, 292, 13646, 1321.16
200, 300, 13638, 1337.475
205, 307, 13631, 1347.18
210, 313, 13625, 1353.162
215, 321, 13617, 1372.692
220, 326, 13612, 1376.798
225, 330, 13608, 1400.653
230, 335, 13603, 1424.967
235, 339, 13599, 1429.461
240, 341, 13597, 1435.656
246, 345, 13593, 1443.798
251, 349, 13589, 1448.769
256, 354, 13584, 1483.573
261, 357, 13581, 1488.023
266, 362, 13576, 1502.512
271, 367, 13571, 1529.973
276, 370, 13568, 1532.136
281, 375, 13563, 1552.046
286, 377, 13561, 1552.342
291, 381, 13557, 1559.909
296, 387, 13551, 1574.872
301, 394, 13544, 1601.142
307, 398, 13540, 1612.966
312, 402, 13536, 1635.577
317, 408, 13530, 1658.032
322, 415, 13523, 1698.684
327, 421, 13517, 1703.074
332, 425, 13513, 1704.152
337, 429, 13509, 1713.802
342, 433, 13505, 1731.384
347, 436, 13502, 1738.075
352, 442, 13496, 3079.02
358, 448, 13490, 3090.8
363, 455, 13483, 3407.498
368, 462, 13476, 3436.214
373, 468, 13470, 3441.334
378, 473, 13465, 3457.415
383, 476, 13462, 3458.7
388, 480, 13458, 3462.009
393, 487, 13451, 3610.271
399, 494, 13444, 3616.628
404, 496, 13442, 3618.97
409, 499, 13439, 3629.909
414, 502, 13436, 3645.286
419, 507, 13431, 3649.88
424, 513, 13425, 3679.122
429, 518, 13420, 3681.659
434, 521, 13417, 3780.684
439, 528, 13410, 3795.815
444, 533, 13405, 3803.637
449, 539, 13399, 3815.108
454, 547, 13391, 3860.495
459, 554, 13384, 3868.028
464, 560, 13378, 3870.595
470, 564, 13374, 3875.802
475, 569, 13369, 3911.494
480, 575, 13363, 3919.449
485, 580, 13358, 3921.89
490, 583, 13355, 3924.127
495, 587, 13351, 3966.38
500, 593, 13345, 4003.409
505, 598, 13340, 4012.496
510, 602, 13336, 4021.012
515, 606, 13332, 4039.46
520, 609, 13329, 4045.26
525, 616, 13322, 4081.401
531, 623, 13315, 4139.465
536, 628, 13310, 4228.802
541, 633, 13305, 4241.013
546, 640, 13298, 4249.038
551, 651, 13287, 4342.435
556, 660, 13278, 4350.405
561, 668, 13270, 4684.073
567, 676, 13262, 4705.96
572, 684, 13254, 4714.356
577, 691, 13247, 4720.429
582, 697, 13241, 4731.233
587, 704, 13234, 4753.571
592, 711, 13227, 5673.245
597, 713, 13225, 5674.027
602, 717, 13221, 5681.742
607, 726, 13212, 5724.413
613, 736, 13202, 5777.526
618, 743, 13195, 5860.145
623, 752, 13186, 5892.2
628, 759, 13179, 5907.483
633, 766, 13172, 5923.979
638, 773, 13165, 6588.801
643, 781, 13157, 6601.986
649, 788, 13150, 6630.646
654, 796, 13142, 6752.258
659, 803, 13135, 6766.521
664, 810, 13128, 6800.469
669, 818, 13120, 6838.002
674, 827, 13111, 6853.375
679, 836, 13102, 6893.908
684, 844, 13094, 6914.024
690, 850, 13088, 6923.928
695, 853, 13085, 6928.312
700, 856, 13082, 6938.341
705, 860, 13078, 6966.206
710, 863, 13075, 6982.963
715, 868, 13070, 6987.219
720, 873, 13065, 7003.168
725, 881, 13057, 7041.922
730, 884, 13054, 7049.289
735, 890, 13048, 7068.204
740, 899, 13039, 7101.77
745, 904, 13034, 7119.41
750, 912, 13026, 7147.974
755, 919, 13019, 7243.218
760, 929, 13009, 7268.795
766, 937, 13001, 7290.178
771, 942, 12996, 7304.332
776, 946, 12992, 7317.258
781, 950, 12988, 7326.574
786, 956, 12982, 7346.177
791, 961, 12977, 7352.974
796, 964, 12974, 7355.625
801, 968, 12970, 7372.764
806, 973, 12965, 7383.004
812, 978, 12960, 7432.49
817, 983, 12955, 7448.302
822, 987, 12951, 7502.297
827, 992, 12946, 7513.935
832, 993, 12945, 7513.972
837, 997, 12941, 7521.778
842, 1001, 12937, 7525.514
847, 1007, 12931, 7573.423
852, 1014, 12924, 7588.122
857, 1020, 12918, 7768.502
863, 1025, 12913, 7789.968
868, 1030, 12908, 7797.826
873, 1035, 12903, 7809.606
878, 1039, 12899, 7811.559
883, 1044, 12894, 7830.89
888, 1049, 12889, 7842.382
893, 1051, 12887, 7844.461
898, 1053, 12885, 7846.325
903, 1055, 12883, 7847.804
908, 1057, 12881, 7852.81
913, 1060, 12878, 7882.916
918, 1062, 12876, 7889.203
923, 1065, 12873, 7893.557
928, 1069, 12869, 7925.276
933, 1074, 12864, 7950.795
939, 1081, 12857, 7975.39
944, 1087, 12851, 7988.256
949, 1095, 12843, 7995.45
954, 1104, 12834, 8045.366
959, 1109, 12829, 8338.088
964, 1115, 12823, 8347.641
969, 1120, 12818, 8390.397
974, 1125, 12813, 8457.162
979, 1129, 12809, 8463.015
984, 1132, 12806, 8483.494
989, 1136, 12802, 8500.104
994, 1140, 12798, 8510.199
999, 1144, 12794, 8523.738
1004, 1149, 12789, 8528.057
1009, 1153, 12785, 8544.87
1014, 1160, 12778, 8590.145
1020, 1166, 12772, 8657.976
1025, 1171, 12767, 8667.556
1030, 1175, 12763, 8677.596
1035, 1180, 12758, 8716.396
