'seconds', 'completed_qty', 'remaining_qty', 'mb_processed'
0, 0, 13938, 0.0
5, 16, 13922, 86.526
10, 32, 13906, 126.893
16, 47, 13891, 144.036
21, 61, 13877, 176.794
26, 76, 13862, 205.258
31, 91, 13847, 220.637
36, 103, 13835, 232.305
42, 116, 13822, 532.805
47, 129, 13809, 550.803
52, 141, 13797, 562.551
57, 153, 13785, 810.254
62, 167, 13771, 873.633
68, 182, 13756, 909.653
73, 196, 13742, 1041.498
78, 208, 13730, 1165.328
83, 223, 13715, 1184.149
88, 238, 13700, 1201.496
94, 253, 13685, 1244.65
99, 267, 13671, 1269.569
104, 279, 13659, 1302.613
109, 292, 13646, 1342.868
114, 303, 13635, 1354.071
119, 314, 13624, 1389.661
124, 327, 13611, 1439.087
130, 339, 13599, 1473.53
135, 350, 13588, 1511.645
140, 363, 13575, 1558.772
145, 373, 13565, 1583.617
150, 387, 13551, 1672.576
156, 402, 13536, 1729.121
161, 414, 13524, 1758.895
166, 426, 13512, 1797.528
171, 438, 13500, 1843.945
176, 450, 13488, 3201.824
182, 464, 13474, 3522.988
187, 475, 13463, 3542.027
192, 485, 13453, 3578.399
197, 494, 13444, 3699.699
202, 501, 13437, 3739.698
207, 512, 13426, 3788.07
213, 524, 13414, 3834.807
218, 536, 13402, 3974.145
223, 550, 13388, 4053.985
228, 565, 13373, 4071.833
233, 577, 13361, 4079.611
239, 590, 13348, 4105.4
244, 603, 13335, 4139.936
249, 614, 13324, 4179.537
254, 628, 13310, 4269.689
259, 641, 13297, 4371.34
264, 656, 13282, 4428.56
269, 669, 13269, 4763.794
274, 683, 13255, 4787.366
280, 697, 13241, 4812.144
285, 711, 13227, 4844.84
290, 726, 13212, 5787.116
295, 741, 13197, 5806.386
300, 754, 13184, 5930.752
305, 769, 13169, 6011.66
311, 784, 13154, 6685.779
316, 799, 13139, 6809.909
321, 814, 13124, 6862.528
326, 829, 13109, 6904.731
331, 843, 13095, 6939.215
336, 857, 13081, 6988.11
341, 868, 13070, 7020.585
347, 880, 13058, 7071.121
352, 893, 13045, 7109.526
357, 906, 13032, 7146.049
362, 920, 13018, 7187.178
367, 934, 13004, 7313.901
372, 945, 12993, 7330.33
377, 956, 12982, 7410.225
383, 967, 12971, 7421.64
388, 979, 12959, 7466.39
393, 990, 12948, 7530.98
398, 997, 12941, 7587.087
403, 1007, 12931, 7648.503
408, 1017, 12921, 7689.005
413, 1030, 12908, 7891.788
419, 1042, 12896, 7922.636
424, 1057, 12881, 7998.989
429, 1068, 12870, 8015.82
434, 1081, 12857, 8076.025
439, 1095, 12843, 8123.691
445, 1109, 12829, 8146.635
450, 1120, 12818, 8453.837
455, 1130, 12808, 8576.914
460, 1143, 12795, 8649.045
465, 1157, 12781, 8704.064
471, 1173, 12765, 8821.894
476, 1187, 12751, 8887.475
481, 1202, 12736, 8903.959
486, 1215, 12723, 8928.603
492, 1226, 12712, 8944.143
497, 1240, 12698, 9013.022
502, 1252, 12686, 9045.945
507, 1265, 12673, 9068.638
513, 1278, 12660, 9126.643
518, 1293, 12645, 9158.264
523, 1306, 12632, 9189.078
528, 1317, 12621, 9240.755
533, 1329, 12609, 9285.235
538, 1342, 12596, 9329.843
543, 1356, 12582, 9444.074
549, 1371, 12567, 9477.702
554, 1387, 12551, 11841.571
559, 1401, 12537, 11869.753
564, 1416, 12522, 11939.254
569, 1428, 12510, 11959.541
574, 1441, 12497, 11999.514
579, 1455, 12483, 12026.213
585, 1470, 12468, 12065.251
590, 1481, 12457, 12076.502
595, 1493, 12445, 12127.169
600, 1504, 12434, 12157.436
605, 1517, 12421, 12258.63
610, 1529, 12409, 14897.206
615, 1542, 12396, 14942.154
621, 1553, 12385, 14952.133
626, 1565, 12373, 15001.628
631, 1578, 12360, 15782.893
636, 1591, 12347, 16332.343
641, 1605, 12333, 16361.523
647, 1619, 12319, 16447.514
652, 1630, 12308, 16524.346
657, 1643, 12295, 16578.578
662, 1655, 12283, 17611.976
667, 1665, 12273, 17642.701
672, 1674, 12264, 17682.444
678, 1684, 12254, 17717.614
683, 1694, 12244, 17755.318
688, 1705, 12233, 17778.072
693, 1716, 12222, 17805.33
698, 1728, 12210, 17835.855
703, 1739, 12199, 17938.488
709, 1751, 12187, 17983.465
714, 1763, 12175, 18114.5
719, 1776, 12162, 18136.557
724, 1790, 12148, 18169.61
729, 1803, 12135, 18207.67
734, 1818, 12120, 18244.342
739, 1832, 12106, 18340.974
745, 1847, 12091, 18354.586
750, 1861, 12077, 18874.019
755, 1875, 12063, 18895.01
760, 1886, 12052, 18918.153
765, 1892, 12046, 18958.624
770, 1903, 12035, 19640.104
776, 1916, 12022, 20594.609
