'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_print_total'
'200021.0.recompute_res', False, False, 9.699, 33, 44238, 78445, 76258, 38222
'200107.0.recompute_res', False, False, 1.643, 48, 10570, 17581, 16722, 8471
'200108.0.recompute_res', False, False, 2.522, 55, 9481, 14999, 13437, 7016
'200191.0.recompute_res', False, False, 0.63, 29, 16126, 14102, 12950, 10328
'200289.0.recompute_res', False, False, 0.107, 247, 45231, 42271, 40151, 40151
'200350.0.recompute_res', False, False, 0.61, 78, 21670, 25233, 23320, 15117
'200367.0.recompute_res', False, False, 0.267, 124, 59101, 55118, 52458, 50006
'20037.0.recompute_res', False, False, 17.291, 250, 238690, 287545, 276301, 189876
'20052.0.recompute_res', False, False, 13.986, 232, 224577, 302674, 291641, 183736
'20061.0.recompute_res', False, True, '', '', '', '', '', ''
'200673.0.recompute_res', False, False, 0.825, 53, 9207, 14420, 13594, 7056
'200722.0.recompute_res', False, False, 4.58, 50, 25460, 34728, 31740, 16328
'200814.0.recompute_res', False, False, 0.678, 275, 35698, 26414, 20926, 15624
'200861.0.recompute_res', False, False, 0.031, 84, 20449, 20126, 19654, 19476
'200862.0.recompute_res', False, False, 0.015, 49, 12085, 11838, 11573, 11573
'200891.0.recompute_res', False, False, 13.594, 118, 77093, 105206, 97724, 53338
'200898.0.recompute_res', False, False, 0.47, 31, 18135, 19288, 18292, 13723
'200957.0.recompute_res', False, False, 7.934, 190, 136821, 165520, 157527, 98090
'200995.0.recompute_res', False, False, 0.0, 1, 73, 70, 69, 69
'201018.0.recompute_res', False, False, 0.135, 293, 44264, 39207, 36643, 35763
'201028.0.recompute_res', False, False, 0.429, 99, 19520, 23337, 22493, 17239
'201102.0.recompute_res', False, False, 2.836, 308, 143696, 184164, 177705, 116339
'201148.0.recompute_res', False, False, 13.228, 57, 39091, 58023, 53098, 26744
'201199.0.recompute_res', False, False, 12.053, 84, 52076, 77768, 71478, 36134
'201257.0.recompute_res', False, False, 0.018, 59, 2498, 2938, 2422, 1556
'201428.0.recompute_res', False, False, 0.052, 24, 5600, 5041, 4504, 3810
'201456.0.recompute_res', False, False, 10.727, 13, 30297, 52940, 50354, 25225
'201585.0.recompute_res', False, False, 0.008, 29, 6108, 5802, 5492, 5492
'201586.0.recompute_res', False, False, 0.006, 29, 5990, 5796, 5538, 5538
'201618.0.recompute_res', False, False, 7.113, 14, 20975, 30146, 27429, 14065
'201627.0.recompute_res', False, False, 0.542, 14, 10120, 9703, 9020, 6910
'201662.0.recompute_res', False, False, 8.579, 652, 371690, 518978, 507290, 321505
'201839.0.recompute_res', False, False, 0.012, 54, 4808, 4122, 3736, 3736
'20189.0.recompute_res', False, False, 2.234, 149, 60021, 59945, 54887, 33947
'201915.0.recompute_res', False, False, 0.126, 38, 15759, 16640, 15978, 12195
'20197.0.recompute_res', False, False, 0.74, 177, 25712, 28279, 26339, 20036
'202062.0.recompute_res', False, False, 1.418, 89, 31192, 27825, 24570, 16531
'20210.0.recompute_res', False, False, 2.156, 549, 125807, 134753, 124097, 81209
'202104.0.recompute_res', False, False, 8.869, 14, 26343, 41588, 38796, 19767
'20214.0.recompute_res', False, False, 0.029, 108, 23934, 22202, 21346, 21346
'202387.0.recompute_res', False, False, 0.0, 1, 74, 74, 74, 74
'202409.0.recompute_res', False, False, 2.402, 55, 8943, 13901, 12370, 6481
'202688.0.recompute_res', False, False, 3.251, 55, 14478, 22749, 21479, 11466
'202742.0.recompute_res', False, False, 0.801, 24, 11254, 10537, 9606, 6320
'20284.0.recompute_res', False, False, 56.091, 99, 116399, 188454, 174739, 87537
'20299.0.recompute_res', False, False, 0.037, 110, 20913, 18848, 17711, 17675
'203018.0.recompute_res', False, False, 0.81, 98, 35575, 52267, 50386, 27711
'203069.0.recompute_res', False, False, 3.049, 53, 27549, 48602, 47368, 23970
'203165.0.recompute_res', False, False, 1.48, 118, 14569, 18400, 16557, 9297
