'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_print_total'
'200021.1.recompute_res', False, False, 5.343, 33, 45411, 78445, 76258, 38212
'200107.1.recompute_res', False, False, 1.033, 48, 11055, 17581, 16722, 8490
'200108.1.recompute_res', False, False, 1.542, 55, 10696, 14999, 13437, 7497
'200191.1.recompute_res', False, False, 0.379, 29, 16475, 14102, 12950, 10680
'200289.1.recompute_res', False, False, 0.104, 247, 45231, 42271, 40151, 40151
'200350.1.recompute_res', False, False, 0.374, 78, 21914, 25233, 23320, 15115
'200367.1.recompute_res', False, False, 0.192, 124, 59491, 55118, 52458, 50307
'20037.1.recompute_res', False, False, 10.957, 250, 240186, 287545, 276301, 190268
'20052.1.recompute_res', False, False, 7.975, 232, 227861, 302674, 291641, 184095
'20061.1.recompute_res', False, True, '', '', '', '', '', ''
'200673.1.recompute_res', False, False, 0.473, 53, 10032, 14420, 13594, 7072
'200722.1.recompute_res', False, False, 3.017, 50, 24813, 34728, 31740, 16331
'200814.1.recompute_res', False, False, 0.472, 275, 34091, 26414, 20926, 15643
'200861.1.recompute_res', False, False, 0.019, 84, 20430, 20126, 19654, 19437
'200862.1.recompute_res', False, False, 0.009, 49, 12085, 11838, 11573, 11573
'200891.1.recompute_res', False, False, 9.079, 118, 80258, 105206, 97724, 53697
'200898.1.recompute_res', False, False, 0.272, 31, 18256, 19288, 18292, 13826
'200957.1.recompute_res', False, False, 4.581, 190, 136029, 165520, 157527, 98896
'200995.1.recompute_res', False, False, 0.0, 1, 73, 70, 69, 69
'201018.1.recompute_res', False, False, 0.136, 293, 44483, 39207, 36643, 35770
'201028.1.recompute_res', False, False, 0.274, 99, 20401, 23337, 22493, 17254
'201102.1.recompute_res', False, False, 1.56, 308, 145619, 184164, 177705, 115393
'201148.1.recompute_res', False, False, 8.474, 57, 42487, 58023, 53098, 26787
'201199.1.recompute_res', False, False, 7.342, 84, 54514, 77768, 71478, 36166
'201257.1.recompute_res', False, False, 0.012, 59, 2479, 2938, 2422, 1556
'201428.1.recompute_res', False, False, 0.03, 24, 5600, 5041, 4504, 3811
'201456.1.recompute_res', False, False, 6.719, 13, 31492, 52940, 50354, 25325
'201585.1.recompute_res', False, False, 0.007, 29, 6108, 5802, 5492, 5492
'201586.1.recompute_res', False, False, 0.006, 29, 5990, 5796, 5538, 5538
'201618.1.recompute_res', False, False, 3.985, 14, 20771, 30146, 27429, 14042
'201627.1.recompute_res', False, False, 0.297, 14, 10096, 9703, 9020, 6910
'201662.1.recompute_res', False, False, 5.732, 652, 383116, 518978, 507290, 322921
'201839.1.recompute_res', False, False, 0.011, 54, 4808, 4122, 3736, 3736
'20189.1.recompute_res', False, False, 1.485, 149, 57580, 59945, 54887, 34090
'201915.1.recompute_res', False, False, 0.075, 38, 16165, 16640, 15978, 12405
'20197.1.recompute_res', False, False, 0.466, 177, 26634, 28279, 26339, 20223
'202062.1.recompute_res', False, False, 0.933, 89, 31718, 27825, 24570, 16631
'20210.1.recompute_res', False, False, 1.598, 549, 123754, 134753, 124097, 81283
'202104.1.recompute_res', False, False, 5.12, 14, 26264, 41588, 38796, 19738
'20214.1.recompute_res', False, False, 0.027, 108, 23934, 22202, 21346, 21346
'202387.1.recompute_res', False, False, 0.0, 1, 74, 74, 74, 74
'202409.1.recompute_res', False, False, 1.558, 55, 10158, 13901, 12370, 6967
'202688.1.recompute_res', False, False, 2.041, 55, 15337, 22749, 21479, 11470
'202742.1.recompute_res', False, False, 0.409, 24, 11426, 10537, 9606, 6655
'20284.1.recompute_res', False, False, 31.24, 99, 118716, 188454, 174739, 87508
'20299.1.recompute_res', False, False, 0.033, 110, 20922, 18848, 17711, 17696
'203018.1.recompute_res', False, False, 0.494, 98, 36238, 52267, 50386, 27772
'203069.1.recompute_res', False, False, 1.878, 53, 28023, 48602, 47368, 23797
'203165.1.recompute_res', False, False, 0.928, 118, 15469, 18400, 16557, 9410
'203173.1.recompute_res', False, False, 1.92, 274, 92265, 131291, 123306, 69250
'203244.1.recompute_res', False, False, 0.961, 22, 27530, 33099, 32680, 25900
'203257.1.recompute_res', False, False, 11.951, 14, 38355, 63045, 56588, 28467
'203270.1.recompute_res', False, False, 27.199, 175, 169814, 279889, 266483, 135795
'203336.1.recompute_res', False, False, 2.003, 14, 12906, 19559, 18390, 9233
'203351.1.recompute_res', False, False, 0.371, 14, 5719, 7015, 6358, 3448
'20340.1.recompute_res', False, False, 13.649, 419, 142536, 192972, 176028, 91962
