'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_base_total'
'320129.recompute_res', False, False, 19.98, 172, 60698, 66629, 75151, 53517
'322004.recompute_res', False, False, 0.998, 2, 1422, 1305, 1572, 1257
'322207.recompute_res', False, False, 30.687, 16, 17996, 23833, 25232, 16752
'32342.recompute_res', True, False
'323932.recompute_res', False, False, 1599.975, 13, 34132, 64410, 67724, 32422
'32448.recompute_res', False, False, 0.161, 29, 11168, 10670, 11527, 10559
'324834.recompute_res', False, False, 10.319, 19, 5891, 7559, 8299, 5273
'327201.recompute_res', False, False, 3.897, 9, 5609, 5597, 6400, 4957
'327598.recompute_res', False, False, 3.839, 13, 7834, 11909, 12454, 7308
'329388.recompute_res', False, False, 554.457, 19, 11611, 19719, 21696, 10451
'32973.recompute_res', False, False, 52.491, 94, 30098, 35773, 39924, 26487
'331268.recompute_res', False, False, 104.649, 53, 11996, 21247, 22664, 11049
'331854.recompute_res', False, False, 969.864, 74, 129730, 237314, 249010, 120296
'335008.recompute_res', False, False, 201.034, 59, 89311, 159010, 164665, 85296
'335515.recompute_res', False, False, 31.076, 19, 6837, 7970, 8589, 6370
'335571.recompute_res', False, False, 142.31, 13, 16078, 28481, 30052, 14887
'335876.recompute_res', False, False, 1181.274, 13, 27337, 50171, 53103, 25592
'336661.recompute_res', False, False, 18.913, 281, 99784, 174672, 181545, 92368
'337640.recompute_res', False, False, 450.423, 39, 68252, 125389, 131270, 63681
'343602.recompute_res', False, False, 150.344, 101, 61546, 83709, 89843, 55841
'344725.recompute_res', False, False, 90.093, 13, 19986, 35633, 37204, 18790
'345008.recompute_res', False, False, 367.581, 34, 40130, 69390, 73042, 37226
'345179.recompute_res', False, False, 656.873, 84, 26126, 40894, 47078, 21436
'345478.recompute_res', False, False, 1.774, 2, 962, 814, 1123, 767
'3459.recompute_res', False, False, 4705.764, 244, 122521, 185529, 245465, 96781
'349134.recompute_res', False, False, 251.269, 46, 17881, 31457, 32980, 16719
'349725.recompute_res', False, False, 1103.403, 27, 46892, 86863, 91421, 44179
'351291.recompute_res', False, False, 85.599, 9, 12057, 21887, 23048, 11286
'355107.recompute_res', False, False, 0.461, 2, 1025, 929, 1114, 893
'355971.recompute_res', False, False, 9.269, 14, 9648, 12227, 13331, 8674
'356191.recompute_res', False, False, 6.581, 67, 35060, 33594, 36715, 32152
'359734.recompute_res', False, False, 13.992, 29, 22851, 31668, 33355, 21108
'360881.recompute_res', False, False, 523.969, 49, 86324, 158235, 165633, 80426
'366076.recompute_res', False, False, 442.119, 24, 27348, 49141, 52557, 25078
'367468.recompute_res', False, False, 21.158, 14, 12992, 15592, 16522, 12150
'369886.recompute_res', False, False, 729.002, 268, 358291, 680848, 694267, 347218
'372649.recompute_res', False, False, 668.612, 66, 23499, 32389, 35773, 21330
'372890.recompute_res', False, False, 10.827, 9, 5048, 6854, 7424, 4576
'37415.recompute_res', False, False, 1.788, 29, 12619, 14096, 14869, 11802
'374187.recompute_res', False, False, 4.182, 14, 7888, 8379, 8963, 7410
'374542.recompute_res', False, False, 679.54, 74, 129661, 234467, 245303, 120537
'375524.recompute_res', False, False, 33.838, 14, 10948, 15443, 16329, 10147
'375633.recompute_res', False, False, 13.577, 14, 7889, 10922, 11703, 7270
'375743.recompute_res', False, False, 8.603, 67, 34123, 33398, 36548, 31176
'376386.recompute_res', False, False, 688.614, 74, 129044, 233299, 244158, 119875
'376530.recompute_res', False, False, 0.212, 2, 786, 712, 884, 664
'380052.recompute_res', False, False, 700.107, 74, 129034, 233632, 244460, 119951
'380704.recompute_res', False, False, 37.096, 10, 9258, 15694, 16511, 8549
'381639.recompute_res', False, False, 247.372, 149, 250085, 258091, 275021, 236045
'382110.recompute_res', False, False, 3062.017, 41, 33161, 49619, 65972, 26725
'384333.recompute_res', False, False, 55.693, 29, 19496, 28357, 29790, 18284
'384363.recompute_res', False, False, 37.68, 29, 31792, 40175, 41438, 30587
'387405.recompute_res', False, False, 17.174, 39, 21504, 24404, 27127, 19087
'391195.recompute_res', False, False, 11.913, 44, 19572, 26274, 29546, 17678
'391207.recompute_res', False, False, 15.044, 6, 3186, 4893, 5409, 2791
'395412.recompute_res', False, False, 54.455, 49, 74536, 107294, 111207, 70592
'396945.recompute_res', False, False, 5.825, 49, 31896, 30040, 32540, 29441
'397480.recompute_res', False, False, 8.309, 74, 89625, 84808, 90491, 84681
'398707.recompute_res', False, False, 37.055, 49, 74224, 106221, 109708, 70672
'399732.recompute_res', False, False, 706.559, 74, 128431, 232537, 243330, 119314
'400688.recompute_res', False, False, 3320.727, 17, 44482, 79822, 86903, 40694
'403182.recompute_res', False, False, 196.749, 21, 23794, 42863, 45530, 21887
'404276.recompute_res', False, False, 28.145, 14, 8358, 11648, 12367, 7700
'404358.recompute_res', False, False, 199.488, 7, 14199, 13175, 17450, 11982
'404421.recompute_res', False, False, 5.113, 4, 2739, 2736, 3285, 2324
'405268.recompute_res', False, False, 228.739, 33, 36010, 59662, 62537, 33733
'408405.recompute_res', False, False, 0.774, 14, 3390, 3038, 3588, 2972
'411401.recompute_res', False, False, 2049.831, 9, 18126, 29213, 31717, 16844
'417471.recompute_res', False, False, 247.421, 19, 6191, 9615, 10713, 5478
'420681.recompute_res', False, False, 3.513, 14, 9211, 10302, 11202, 8348
'428740.recompute_res', False, False, 13.388, 14, 9970, 13563, 14803, 8902
'429875.recompute_res', True, False
'430779.recompute_res', False, False, 55.238, 21, 9763, 13188, 14906, 8548
'433051.recompute_res', False, False, 122.206, 34, 27928, 50771, 52934, 26319
'437947.recompute_res', False, False, 1.461, 29, 33946, 32433, 34390, 32307
'439339.recompute_res', False, False, 1.048, 58, 27652, 25287, 28665, 25287
'4449.recompute_res', False, False, 67.601, 54, 28148, 36494, 41890, 23147
'445075.recompute_res', False, False, 15.939, 14, 7991, 9895, 10526, 7487
'445408.recompute_res', False, False, 168.459, 24, 18806, 32631, 35277, 16881
'446637.recompute_res', False, False, 1121.484, 95, 76037, 140857, 149933, 71116
'447241.recompute_res', False, False, 188.168, 21, 16206, 27494, 29956, 14515
'447529.recompute_res', False, False, 541.626, 49, 86135, 157537, 165248, 79851
'447574.recompute_res', True, False
'448428.recompute_res', False, False, 146.442, 14, 13508, 23063, 25345, 11910
'449547.recompute_res', False, False, 51.569, 24, 14860, 22740, 24809, 13037
'451491.recompute_res', False, False, 39.438, 301, 79462, 131390, 141497, 70947
'456891.recompute_res', False, False, 128.952, 19, 16316, 26320, 29022, 14185
'458586.recompute_res', False, False, 8.752, 19, 5330, 7248, 8079, 4625
'458691.recompute_res', False, False, 4.51, 24, 19266, 21601, 22653, 18206
'45970.recompute_res', False, False, 3.024, 42, 24055, 27443, 29049, 22545
'460067.recompute_res', False, False, 140.854, 21, 26232, 46172, 48521, 24198
'460520.recompute_res', False, False, 756.344, 74, 129196, 237458, 248626, 120472
'46534.recompute_res', False, False, 0.467, 149, 23444, 21925, 24510, 21182
'465369.recompute_res', False, False, 40.22, 29, 40948, 48673, 51780, 38168
'469874.recompute_res', False, False, 235.823, 14, 14058, 24152, 26749, 12361
'47035.recompute_res', False, False, 96.079, 69, 41516, 65515, 70518, 37024
'470447.recompute_res', False, False, 4.042, 38, 32706, 33161, 35231, 30668
'47078.recompute_res', True, False
'471422.recompute_res', False, False, 454.731, 13, 20451, 36717, 39225, 18974
'472973.recompute_res', False, False, 789.185, 12, 25619, 47255, 49832, 23958
'473391.recompute_res', False, False, 131.144, 15, 22451, 41465, 43174, 21092
'480603.recompute_res', False, False, 508.772, 49, 85795, 157685, 165066, 80041
'496095.recompute_res', False, False, 37.079, 14, 16220, 23210, 24619, 14987
'500296.recompute_res', False, False, 102.236, 14, 13009, 20672, 22730, 11348
'501546.recompute_res', False, False, 401.179, 369, 220525, 375878, 388396, 208953
'502552.recompute_res', False, False, 39.096, 13, 13550, 22798, 23873, 12561
'502595.recompute_res', False, False, 323.004, 299, 288225, 423511, 451538, 268565
'504339.recompute_res', False, False, 2.333, 3, 2780, 2452, 2895, 2438
'506517.recompute_res', False, False, 525.127, 59, 102146, 184673, 193284, 94896
